name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,cidade
"Fortaleza, CE, Brasil",2024-07-11,30.0,24.0,27.0,32.6,24.0,28.5,21.7,74.0,2.9,100,4.17,rain,0,0,45.4,31.7,122.0,1014.1,46.3,10.7,263.4,22.8,9,10,2024-07-11T05:42:16,2024-07-11T17:37:27,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-12,30.0,24.0,27.3,34.2,24.0,29.7,22.7,76.4,0.0,0,0.0,rain,0,0,48.6,35.3,125.2,1014.6,54.2,10.7,204.8,17.7,7,10,2024-07-12T05:42:21,2024-07-12T17:37:37,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-13,30.0,24.0,27.2,32.6,24.0,28.6,21.0,69.6,0.0,0,0.0,rain,0,0,57.2,35.3,131.2,1014.3,53.1,10.7,263.1,23.0,9,10,2024-07-13T05:42:26,2024-07-13T17:37:46,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-14,30.0,23.0,26.7,31.8,23.0,28.1,20.8,70.8,0.0,0,0.0,rain,0,0,56.5,33.5,137.5,1014.7,30.1,10.4,205.6,17.5,8,10,2024-07-14T05:42:29,2024-07-14T17:37:55,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-15,32.0,25.0,27.7,34.9,25.0,29.3,20.7,66.2,0.0,0,0.0,,0,0,50.0,35.3,130.0,1015.4,40.3,10.9,246.2,21.4,8,10,2024-07-15T05:42:33,2024-07-15T17:38:04,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-16,31.0,22.0,26.6,42.0,22.0,27.7,20.1,68.6,0.0,0,0.0,,0,0,46.1,35.3,136.0,1016.4,14.3,10.9,266.9,23.0,9,10,2024-07-16T05:42:36,2024-07-16T17:38:12,0.34,Clear,Clear conditions throughout the day.,clear-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-17,31.0,23.0,26.9,33.0,23.0,27.7,20.5,69.2,0.0,0,0.0,rain,0,0,50.8,33.5,132.9,1016.2,14.2,10.9,267.3,23.0,9,10,2024-07-17T05:42:38,2024-07-17T17:38:20,0.38,Clear,Clear conditions throughout the day.,clear-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-18,31.0,23.0,27.0,33.7,23.0,28.1,21.0,70.9,0.0,0,0.0,,0,0,46.1,29.5,133.9,1015.6,25.8,10.9,256.2,22.0,9,10,2024-07-18T05:42:39,2024-07-18T17:38:27,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-19,31.0,24.0,27.1,33.0,24.0,28.4,21.7,73.1,0.0,0,0.0,rain,0,0,43.9,27.7,119.3,1015.9,42.5,10.7,263.7,22.7,9,10,2024-07-19T05:42:40,2024-07-19T17:38:34,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-07-20,31.0,24.0,27.4,33.0,24.0,28.3,20.3,66.5,0.1,100,4.17,rain,0,0,46.4,31.7,129.7,1015.6,39.9,10.9,271.1,23.4,9,10,2024-07-20T05:42:40,2024-07-20T17:38:40,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBFZ,82398099999",fortaleza
